Organisation,Department,Role,Topic/Competency,Course Name,Course Provider,Course Link,Verification Status
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Office (NSO),Junior Statistical Officer,Survey Design / Sampling,Data Driven Decision Making For Government,Capacity Building Commission,https://portal.igotkarmayogi.gov.in/app/toc/do_1137349858229288961285/overview,Source-verified course in dataset
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Office (NSO),Senior Statistical Officer,Sampling / Labour Statistics / Price Statistics,Fundamentals of Public Policy,IIM Bangalore,https://portal.igotkarmayogi.gov.in/app/toc/do_1143089865482649601691/overview,Verified iGOT Course Link
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Office (NSO),Statistical Officer,National Accounts / Price Statistics / Agricultural & Industrial Statistics,Data Driven Decision Making For Government,Wadhwani Institute of Technology and Policy (CBC),https://portal.igotkarmayogi.gov.in/app/toc/do_1137349858229288961285/overview,Verified iGOT Course Link
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Office (NSO),Statistical Analyst,Data Analytics / Data Visualization,Statistical Tools and Data Visualization,Institute of Secretariat Training and Management (ISTM),https://portal.igotkarmayogi.gov.in/app/toc/do1138608427899371521121/overview,Verified iGOT Course Link
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Office (NSO),Data Analyst,Python / SQL / Data Visualization / AI-ML,Advanced Data Analysis with Generative AI,Microsoft,https://portal.igotkarmayogi.gov.in/app/toc/ext/ext_11447180740585881619,Verified iGOT Course Link
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Office (NSO),Survey Officer,Survey Design / Sampling,Sampling Methods,Statistics Lectures,https://www.youtube.com/watch?v=FtZavrh0eaw,Verified Video Link
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Office (NSO),Research Officer,SDG Indicators / Metadata / Data Quality,Introduction to Sustainable Development Goal Indicators,FAO,https://elearning.fao.org/course/view.php?id=359,Verified Official Course Link
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Office (NSO),Data Management Officer,SQL / Data Quality / Data Privacy / Open Data,"SQL Data Quality, Security, and Governance",Coursera,https://www.coursera.org/learn/sql-data-quality-security-and-governance,Verified Course Link
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Office (NSO),IT / Technical Officer,APIs / Cloud / Cybersecurity / Digital Governance,Cybersecurity Fundamentals for Leaders,National e-Governance Division (NeGD),https://portal.igotkarmayogi.gov.in/app/toc/do_114326494479165440183/overview,Verified iGOT Course Link
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Training Academy (NSSTA),Project Officer,Project Management / Change Management / Communication,Introduction: Basics of Project Management,Quality Council of India,https://www.igotkarmayogi.gov.in/,Official iGOT Course — Direct Course URL not verified
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Training Academy (NSSTA),Deputy Director,Leadership / Decision Making / Change Management,Purpose Driven Leadership,ISB Hyderabad,https://portal.igotkarmayogi.gov.in/app/toc/do_113952147264946176170/overview,Verified iGOT Course Link
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Training Academy (NSSTA),Director,Leadership / Decision Making / Communication / Ethics,Public Governance Models,ISB Hyderabad,https://portal.igotkarmayogi.gov.in/app/toc/do_113956414673690624149/overview,Verified iGOT Course Link
Ministry of Statistics & Programme Implementation (MoSPI),National Statistical Training Academy (NSSTA),Project Officer,Project Management,Fundamentals of Program and Project Management,Quality Council of India,https://portal.igotkarmayogi.gov.in/,Official iGOT Course; Direct URL not verified
