Organization,Department,Designation,Functional Role
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director General","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Additional Director General","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Director","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Joint Director","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Deputy Director","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Social Statistics"
